diagnosis,admissions_count,los,los_avg
"FEVER,R/O MENINGITIS",4.0,4.0,7.25
"FEVER,R/O MI",1.0,9.0,9.0
"FEVER,S/P CHEMO",1.0,41.0,41.0
"FEVER,SHAKING CHILLS OF UNKNOWN ETIOLOGY",1.0,6.0,6.0
"FEVER,SVT",1.0,5.0,5.0
"FEVER,UNKNOWN ETIOLOGY",2.0,27.0,18.5
"FEVER,VOMITING",6.0,3.0,4.666666666666667
FEVER-ALTERED MENTAL STATUS,4.0,19.0,14.0
FEVER-CELLULITIS,1.0,90.0,90.0
FEVER-CHEST PAIN,1.0,20.0,20.0
FEVER-EKG CHANGES,1.0,14.0,14.0
FEVER-FAILURE TO THRIVE,3.0,5.0,15.0
FEVER-FLU,3.0,9.0,6.666666666666667
FEVER-FOOT WOUND,6.0,6.0,7.166666666666667
FEVER-HYPERTENSION,2.0,11.0,11.0
FEVER-HYPOTENSION,1.5,9.0,7.75
FEVER-LINE SEPSIS,5.0,13.0,17.4
FEVER-MANTLE CELL LYMPHOMA,2.0,24.0,12.5
FEVER-MENTAL STATUS CHANGES,2.0,12.5,11.333333333333334
FEVER-NEUTROPENIA,1.3333333333333333,17.333333333333332,23.833333333333332
FEVER-PNEUMONIA,1.0,11.0,11.0
FEVER-R/O TB,1.0,17.0,17.0
FEVER-RULE OUT SEPSIS,1.0,15.0,15.0
FEVER-S/P LIVER TRANSPLANT,2.0,44.0,82.0
FEVER-SEPSIS,1.0,2.5,2.5
FEVER/ HYPOTENSION,1.0,0.0,0.0
FEVER/BACK PAIN,1.0,0.0,0.0
FEVER/CHEST PAIN,1.0,17.0,17.0
FEVER/HYPER K/ AFIB RVR,3.0,16.0,9.666666666666666
FEVER/HYPOTENSION,16.0,11.0,5.9375
FEVER/HYPOXIA,11.0,6.0,9.727272727272727
FEVER/NEUTROPENIA,1.0,26.0,26.0
FEVER/R/O BACTEREMIA,13.0,11.0,7.230769230769231
FEVER/SEPSIS,2.0,12.5,15.833333333333332
FEVER/SHORTNESS OF BREATH,2.0,13.0,46.0
FEVER/SYNCOPE,3.0,12.0,10.125
FEVER/UNRESPONSIVE,1.0,0.0,0.0
FEVER; ASCITES; SOB,3.0,23.0,18.0
FEVER; ATRIAL FIBRILLATION,1.0,11.0,11.0
FEVER; DEHYDRATION; EVAL FOR C-DIFF,5.0,2.0,7.0
FEVER; MENTAL STATUS CHANGE,5.0,3.0,8.8
FEVER; MENTAL STATUS CHANGES,1.0,6.0,6.0
FEVER; MS FLARE,2.0,13.0,11.5
FEVER; N/V,2.0,22.0,12.5
FEVER; NEUTROPENIA,1.0,17.5,17.5
FEVER; PANCREATITIS; ETHANOL WITHDRAWAL,1.0,9.0,9.0
FEVER; R/O MENINGITIS,2.0,8.0,14.0
FEVER; S/P LIVER TRANSPLANT,4.0,58.0,33.5
FEVER; TACHYCARDIA; JP DRAIN OUT,7.0,25.0,12.714285714285714
FEVER;? CVA,1.0,0.0,0.0
FEVER;? ENDOCARDITIS,3.0,6.0,9.333333333333334
FEVER;ABDOMINAL PAIN,2.0,17.0,22.833333333333336
FEVER;ABSCESS,1.0,5.0,5.0
FEVER;ACUTE LYMPHATIC LEUKEMIA,5.0,9.0,26.4
FEVER;ACUTE RESPIRATORY FAILURE,1.0,-1.0,-1.0
FEVER;ALTERED MENTAL STATUS,14.0,10.0,5.428571428571429
FEVER;ALTERED MENTAL STATUS;R/O MENINGITIS,2.0,5.0,3.5
FEVER;ANEMIA,4.0,7.0,23.75
FEVER;BACK PAIN;NAUSEA,2.0,26.0,15.0
FEVER;BACK PAIN;SEPTICEMIA,1.0,8.0,8.0
FEVER;BILIARY BLOCKAGE,1.0,2.0,2.0
FEVER;BILIARY SLUDGE,1.0,6.0,6.0
FEVER;CELLULITIS,13.0,6.0,10.923076923076923
FEVER;CHANGE IN MENTAL STATUS,7.5,3.0,7.25
FEVER;CHEST PAIN;TELEMETRY,1.0,6.0,6.0
FEVER;CONFUSION,16.0,4.0,4.5625
FEVER;COUGH,2.0,13.333333333333334,9.722222222222223
FEVER;DEHYDRATION,1.5,6.5,4.75
FEVER;DEHYDRATION;NECK MASS,8.0,16.0,14.125
FEVER;DIABETIC KETOACIDOSIS,20.0,3.0,2.75
FEVER;DIARRHEA,3.5,3.0,8.041666666666668
FEVER;DIARRHEA;DEHYDRATION,2.0,27.0,20.0
FEVER;ELEVATED LIVER FUNCTION TEST,6.0,13.0,15.666666666666666
FEVER;EPILEPSY,1.0,9.0,9.0
FEVER;FAILURE TO THRIVE,2.0,12.0,6.0
FEVER;FLANK PAIN,2.0,12.0,13.5
FEVER;HEADACHE,4.0,4.0,5.5
FEVER;HEPATITIS;HYPOTENSION\HYPOTENSION,1.0,11.0,11.0
FEVER;HICKMAN LINE INFECTION,5.0,10.0,10.0
FEVER;HYPERKALEMIA;CONGESTIVE HEART FAILURE,1.0,10.0,10.0
FEVER;HYPERTENSION,2.0,2.0,4.0
FEVER;HYPERTENSIVE,5.0,2.0,2.8
FEVER;HYPOTENSION,3.769230769230769,11.615384615384615,10.609890109890111
FEVER;HYPOTENSION;TACCHYCARDIA,1.0,21.0,21.0
FEVER;HYPOTENSIVE URGENCY;METHICILLIN RESISTANT STAPH AUREUS,5.0,3.0,2.8
FEVER;HYPOTENTION;TELEMETRY,4.0,9.0,8.5
FEVER;HYPOXIA,2.6666666666666665,6.333333333333333,9.222222222222221
FEVER;IJ ANF LUE DVT,1.0,6.0,6.0
FEVER;JAUNDICE,3.0,53.0,26.333333333333332
FEVER;LEFT PLEURAL EFFUSION,2.0,6.0,9.0
FEVER;LINE INFECTION,3.0,10.0,22.0
FEVER;LINE SEPSIS,4.5,7.0,7.916666666666666
FEVER;LOW BLOOD PRESSURE,2.0,23.0,15.0
FEVER;LOW PLATELETS,1.0,4.0,4.0
FEVER;MENINGITIS,1.0,15.0,15.0
FEVER;MENTAL STATUS CHANGES,1.25,11.25,11.125
FEVER;MYELOMA,2.0,18.0,13.5
FEVER;NAUSEA;ABDOMINAL PAIN,1.0,34.0,34.0
FEVER;NEUTOPENIA,2.0,5.0,4.5
FEVER;NEUTROPENIA,1.6666666666666667,17.77777777777778,19.944444444444443
FEVER;NEUTROPENIA;SAH,1.0,10.0,10.0
FEVER;NEUTROPENIC,1.0,10.0,10.0
FEVER;NRUTROPENIA,1.0,52.0,52.0
FEVER;PANCYTOPENIA,2.0,13.0,17.0
FEVER;PANCYTOPENIA;CHRONIC LYMPHOCYTIC LEUKEMIA,1.0,0.0,0.0
FEVER;PARALYSIS,1.0,12.0,12.0
FEVER;PLEURAL EFFUSION,1.0,19.0,19.0
FEVER;PNEUMONIA,4.0,17.0,8.0
FEVER;R/O ENDOCARDITIS,9.0,17.0,11.666666666666666
FEVER;R/O LINE INFECTION;RENAL FAILURE,2.0,25.0,15.5
FEVER;R/O LINE SEPSIS,4.0,22.0,20.25
FEVER;RASH,1.0,7.0,7.0
FEVER;RESPIRATORY DISTRESS,2.0,2.0,1.0
FEVER;RULE-OUT MYOCARDIAL INFARCTION,1.0,27.0,27.0
FEVER;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,3.0,15.0,29.666666666666668
FEVER;S/P BIOPSY,2.0,4.0,7.5
FEVER;S/P FALL,1.0,8.0,8.0
FEVER;S/P LIVER TRANSPLANT,5.0,19.0,47.8
FEVER;SEIZURE,2.0,12.0,11.5
FEVER;SEPSIS,6.0,6.0,10.666666666666666
FEVER;SEPSIS;HYPOXIA,1.0,9.0,9.0
FEVER;SHORTNESS OF BREATH,4.0,4.0,10.0
FEVER;SHORTNESS OF BREATH;? PNEUMONIA,2.0,1.0,4.0
FEVER;TACHYCARDIA,1.6666666666666667,14.333333333333334,13.0
FEVER;TACHYCARDIA;DEHYDRATION,3.0,7.0,7.666666666666667
FEVER;TELEMETRY,4.666666666666667,29.0,13.055555555555557
FEVER;THROMBOCYTOPENIA,2.0,5.0,10.0
FEVER;THROMBOCYTOPENIA;QUESTION OF TTP,1.0,3.0,3.0
FEVER;UNKNOWN ORIGIN,9.0,19.0,11.444444444444445
FEVER;URINARY TRACT INFECTION,2.0,8.0,7.5
FEVER;VOMITING,4.0,44.0,31.25
FEVER;WEAKNESS,1.0,17.0,17.0
FEVER;WOUND DRAINAGE,4.0,22.0,16.75
FEVERE,3.0,22.0,27.666666666666668
FEVERS,4.444444444444445,14.777777777777779,16.698124098124097
FEVERS AND LEUKOCYTOSIS,2.0,8.0,7.0
"FEVERS, A-FIB, RVR",5.0,2.0,7.0
FEVERS;CONFUSION,2.0,16.0,14.0
FEVERS;DECREASED PLATELET COUNT;HEADACHE;HIV,2.0,34.0,25.0
FEVERS;FOOT ABSCESS,9.0,4.0,10.0
FEVERS;HYPOTENSION,2.0,13.0,9.0
FEVERS;HYPOXIA,1.0,38.0,38.0
FEVERS;SEIZURES,5.0,10.0,14.6
FEVERS;STERNAL WOUND DRAINAGE,2.0,13.0,12.0
FEVERS;TACHYCARDIA;,1.0,13.0,13.0
FIBRO-THORAX/SDA,1.0,7.0,7.0
FIBROID BLEED,1.0,5.0,5.0
FIBROID UTERUS/SDA,1.0,4.666666666666667,4.666666666666667
FIBROID UTERUS;MENORRHAGIA/SDA,1.0,3.0,3.0
FIBROIDS,1.0,5.0,5.0
FIBROIDS & MENORRHAGIA/SDA,1.0,6.0,6.0
FIBROIDS/SDA,1.0,11.0,11.0
FIBROTHORAX/SDA,2.0,6.0,10.0
FIDELIS LEAD FRACTURE\IMPLANTABLE CARDIOVERER DEFIBRILLATOR FIDELIS LEAD EXTRACTION/SDA,1.0,3.0,3.0
FINGER AMPUTATION,1.2,8.4,8.7
FINGER AMPUTATIONS,1.0,5.0,5.0
FINGER CELLULITIS,1.0,9.0,9.0
FISTULA,1.5,38.0,34.75
FISTULA /SDA,2.0,8.0,7.5
FISTULA BLEED,16.0,3.0,4.5625
FISTULA INFECTION,5.0,14.0,10.2
FLACID PARALYSIS,1.0,7.0,7.0
FLAIL CHEST,1.6666666666666667,8.666666666666666,8.555555555555555
FLANK PAIN,1.6666666666666667,2.6666666666666665,3.555555555555556
FLANK PAIN;CHEST PAIN,1.0,8.0,8.0
FLANK PAIN;HYPOTENSION,1.0,3.0,3.0
FLARE OF ULCERATIVE CHOLITIS;STATUS POST VATS PROCEDURE,1.0,21.0,21.0
FLASH PULMONARY EDEMA,4.333333333333333,1.3333333333333333,2.7878787878787876
FLASH PULMONARY EDEMA;RENAL FAILURE,5.0,4.0,9.6
FLASH PULMONARY EDEMA\CATH,1.0,6.0,6.0
FLATBACK SYNDROME AND SCOLIOSIS/SDA,2.0,13.0,10.0
FLORID DT'S,1.0,3.0,3.0
FLU RESPIRATORY DISTRESS,1.0,1.0,1.0
"FLU,SYRINK",2.0,18.0,12.0
FLUCONAZOLE DESENSITIZATION,5.0,1.0,1.2
FLUID COLLECTION,1.0,8.5,8.5
FLUID OVERLOAD,5.333333333333333,17.0,20.67948717948718
FLUID OVERLOAD;?INFECTION;SHORTNESS OF BREATH,4.0,19.0,7.75
FLUID OVERLOAD;RENAL FAILURE;TELEMETRY,2.0,0.0,3.0
FLUID OVERLOAD;S/P KIDNEY TRANSPLANT,3.0,16.0,11.0
FOCAL NODULAR HYPERPLASIA/SDA,1.0,7.0,7.0
FOLLOCULAR LYMPHOMA\CHEMOTHERAPY,1.0,9.0,9.0
FOLLOW-UP COMMON BILE DUCT INJURY/SDA,2.0,0.0,5.0
FOLLOW-UP EYE EXAM,2.0,0.0,52.5
FOOD IMPACTION,1.5,0.6666666666666666,2.638888888888889
FOOD OBSTRUCTION,1.0,3.0,3.0
FOOT GRAPH,3.0,5.0,13.333333333333334
FOOT INFECTION,2.0,16.0,11.5
FOOT INFECTION;HYPERGLYCEMIA,1.0,4.0,4.0
FOOT INJURY,3.0,20.0,23.333333333333332
FOOT ISCHEMIA,5.0,9.0,7.6
FOOT NUMBNESS;CLAUDICATION\RIGHT LEG ANGIOGRAM,1.0,1.0,1.0
FOOT PAIN,4.0,12.0,6.75
FOOT ULCER,4.0,18.0,12.75
FOOT ULCERS,1.0,41.0,41.0
FOOUND DOWN,3.0,11.0,7.666666666666667
FORAMEN OVALE DEFECT\PATENT FORAMEN OVALE MINIMALLY INVASIVE,1.0,4.0,4.0
FOREIGN  BODY IN STOMACH,5.0,2.0,4.0
FOREIGN BODY,1.0,0.3333333333333333,0.3333333333333333
FOREIGN BODY ESOPHAGUS,1.25,0.5,0.75
FOREIGN BODY IN ESOPHAGUS,1.0,0.125,0.125
FOREIGN BODY IN ESPHAGUS,1.0,0.0,0.0
FOREIGN BODY IN STOMACH,1.0,3.0,3.0
FOREIGN BODY IN THROAT,1.0,0.0,0.0
FOREIGN BODY INGESTION,2.3333333333333335,2.0,2.3333333333333335
FOUND DOWN,1.1428571428571428,7.714285714285714,7.571428571428571
"FOUND DOWN, S/P FALL",13.0,17.0,7.230769230769231
"FOUND DOWN,SUB DURAL HEMATOMA",1.0,104.0,104.0
FOUND DOWN;ALTERED MENTAL STATUS,1.0,1.0,1.0
FOUND DOWN;SCALP LACS,1.0,2.0,2.0
FOUNIER GANFRENE,1.0,18.0,18.0
FOURNIER GANGGRENE,1.0,19.0,19.0
FOURNIER GANGRENE,7.0,14.0,14.0
FOURNIER GANGRENE/SDA,4.0,15.0,8.75
FOURNIER'S GANGRENE,1.6666666666666667,27.333333333333332,19.333333333333332
FOURNIER'S GANGRENE;ANEURYSM,3.0,9.0,6.666666666666667
FRACTURE,1.0,7.0,7.0
"FRACTURE,C2 & C5",1.0,28.0,28.0
FRACTURED AICD LEAD\ICD IMPLANT IN O.R. ,1.0,2.0,2.0
FRACTURED ICD LEAD;SUBARACHNOID HEMORRHAGE\LEAD REPLACEMENT;LEAD EXTRACTION,1.0,5.0,5.0
FRACTURED ICD LEAD\ICD LEAD EXTRACTION; LEAD IMPLANTATION,1.0,3.0,3.0
FRACTURED PLEVIS,1.0,43.0,43.0
FRACTURED RIBS,1.0,14.0,14.0
FRACTURED RIGHT HIP;S/P INTEROCHANTERIC\ ORIF INTERTROCHANTERIC FRACTURE RIGHT,1.0,12.0,12.0
FRACTURES,2.0,15.0,9.0
FRACTURES THORACIC AND LUMBAR/SDA,3.0,13.0,7.0
FRACTURES;THROMBOCYTOPENIA,1.0,8.0,8.0
FREE ABDOMINAL AIR,11.0,20.0,6.181818181818182
FREE AIR,1.0,0.0,0.0
FREE AIR ABDOMEN,1.0,5.0,5.0
FREE AIR IN ABDOMEN,2.0,12.0,10.5
FREQUENT FALLS-HYPOTENSION,2.0,12.0,9.0
FRONTAL BRAIN LESION/SDA,3.0,5.0,5.666666666666667
FRONTAL BRAIN MENINGIOMA/SDA,1.0,7.0,7.0
FRONTAL BRAIN TUMOR,1.0,13.0,13.0
FRONTAL CONTUSION,1.0,0.0,0.0
FRONTAL HEMATOMA;SUBDURAL HEMATOMA,1.0,6.0,6.0
FRONTAL ICH,1.0,34.0,34.0
FRONTAL LOBE SEIZURE/SDA,1.0,5.0,5.0
FRONTAL MASS,1.0,8.666666666666666,8.666666666666666
FRONTAL MENIGIOMA/SDA,2.0,7.0,5.5
FRONTAL TUMOR/SDA,2.0,23.0,17.5
FTT,3.5,18.0,29.15
FTT;ABDOMINAL DISTENSION,2.0,69.0,39.5
FULIMANT LIVER FAILURE,1.0,25.0,25.0
FULMINANT C-DIFF;LIVER FAILURE;CIRRHOSIS,1.0,15.0,15.0
FULMINANT HEPATIC FAILURE,1.0,35.0,35.0
FULMINANT HEPATITIS,1.0,7.0,7.0
FUNGAL MENINGITIS,1.0,14.0,14.0
FUNGAL PNEUMONIA,1.0,13.0,13.0
FUNGAL RESPIRATORY INFECTION,1.0,6.0,6.0
FUNGEMIA,5.5,19.0,14.7
FUNGEMIA;BREAST CANCER;STATUS POST KIDNEY TRANSPLANT,3.0,85.0,41.0
FX ANKLE,1.0,72.0,72.0
"FX HIP,R",1.0,15.0,15.0
FX HUMERUS;RENAL CELL CA,1.0,20.0,20.0
FX TO RT HIP & SHOULDER-R/O MI,2.0,8.0,10.0
FZ2NMS\CORONARY ARTERY BYPASS GRAFT,1.0,21.0,21.0
G I BLEED,2.0,23.0,11.5
G TUBE OUT,2.0,2.0,1.5
G-J TUBE DISLODGED,2.0,1.0,1.5
G-J TUBE PULLED,1.0,12.0,12.0
G-TUBE FELL OUT,5.0,16.0,11.4
G-TUBE LEAK,2.0,2.0,11.5
G.E JUNCTION CANCER,1.0,4.0,4.0
G.I. BLEED,1.8571428571428572,3.0,4.119047619047619
GAIT ABNORMALITY,6.0,32.0,14.166666666666666
GAIT CHANGES,1.0,13.0,13.0
GAIT DISTURBANCE,1.0,11.0,11.0
GAIT INSTABILITY;FALL;DEHYDRATION,1.0,10.0,10.0
GALL BLADDER CANCER/SDA,1.0,4.0,4.0
GALL STONE;EXPLORATORY LAPAROSTOMY;CHOLECYSTECTOMY;WEDGE LIVER BIOPSY,2.0,5.0,4.5
GALL STONES/SDA,2.0,4.0,9.0
GALLBLADDER CANCER,1.0,42.0,42.0
GALLBLADDER CANCER/SDA,1.0,5.0,5.0
GALLBLADDER CANCER; FEVER,1.0,24.0,24.0
GALLBLADDER FISTULA,1.0,18.0,18.0
GALLBLADDER INFECTION,1.0,3.0,3.0
GALLBLADDER MASS,1.0,13.0,13.0
GALLBLADDER SEPSIS,1.0,13.0,13.0
GALLSTONE,1.0,3.0,3.0
GALLSTONE PANCREATITIS,1.4736842105263157,12.947368421052632,10.873684210526315
GALLSTONE PANCREATITIS-CHOLANGITIS,2.0,4.0,5.5
GALLSTONE PANCREATITIS;CHOLECYSTITIS,1.0,5.0,5.0
GALLSTONE PANCREATITIS;TELEMETRY,1.0,0.0,0.0
"GALLSTONE,PANCREATITIS",2.0,21.0,18.0
GALLSTONE/PACREATIC CYST/SDA,3.0,12.0,9.333333333333334
GALLSTONE; PANCREATITIS/SDA,2.0,6.0,6.0
GALLSTONE;FAILED ERCP,1.0,22.0,22.0
GALLSTONE;HYPOTENSION;ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY,1.0,1.0,1.0
GALLSTONE;PANCREATITIS,1.0,6.333333333333333,6.333333333333333
GALLSTONES,1.8571428571428572,8.142857142857142,7.271428571428571
"GALLSTONES, NEED FOR ACCESS",8.0,8.0,8.75
GALLSTONES-PANCREATITIS,1.0,5.0,5.0
GALLSTONES/PANCRATITIS,1.0,20.0,20.0
GALLSTONES/SDA,2.0,8.0,7.5
GALLSTONES;COLON CA/SDA,1.0,9.0,9.0
GALLSTONES;PANCREATITIS,1.0,10.0,10.0
GALLSTONES;SDA;METHICILLIN RESISTANT STAPH AUREUS/SDA,8.0,0.0,7.375
GALLSTONES;SEIZURES MONITORING,1.0,14.0,14.0
GALSTONE PANCREATITIS,1.0,21.0,21.0
GAMMA BENZENE HEXACHLORIDE WITHDRAWAL,1.0,5.0,5.0
GAMMA-BUTYROLACTONE WITHDRAWAL,2.0,1.0,2.0
GAMMABUTEROL LACTONE WITHDRAWAL,2.0,3.0,2.0
GANGENE RIGHT LEG,1.0,16.0,16.0
GANGREEN LEFT FOOT,1.0,2.0,2.0
GANGRENE,2.9166666666666665,8.083333333333334,10.880555555555555
GANGRENE BILATERAL FEET,1.0,32.0,32.0
GANGRENE BILATERAL FEET;IV ANTIBIOTICS,3.0,18.0,14.333333333333334
GANGRENE BILATERAL LOWER EXTREMITIES,1.0,11.0,11.0
GANGRENE FOOT;CELLULITIS,2.0,28.0,21.5
GANGRENE L 4TH TOE ; S/P TRANSPLANT FOR IV ANTIBIOTICS,1.0,16.0,16.0
GANGRENE L FOOT,3.0,18.0,27.0
GANGRENE L LEG,6.0,19.0,10.833333333333334
GANGRENE LEFT BIG TOE AND SECOND TOE,1.0,8.0,8.0
GANGRENE LEFT FOOT,1.2,13.4,13.4
GANGRENE LEFT LEG,2.0,12.0,12.833333333333332
GANGRENE LEFT LOWER EXTREMITY/SDA,2.0,5.0,14.5
GANGRENE LEFT TOES,1.0,27.0,27.0
GANGRENE OF FOOT,3.0,10.0,19.333333333333332
GANGRENE OF SCROTUM,1.0,12.0,12.0
GANGRENE OF THE TOE,1.0,10.0,10.0
GANGRENE R LEG,3.0,27.0,18.666666666666668
GANGRENE RIGHT FIRST TOE,2.0,23.0,14.5
GANGRENE RIGHT FOOT,2.5,20.833333333333332,17.50793650793651
GANGRENE RIGHT LOWER EXTREMITY,1.0,4.0,4.0
GANGRENE RIGHT SECOND TOE,2.0,28.0,36.0
"GANGRENE TOES, BILATERAL FEET",2.0,14.0,13.5
"GANGRENE, RIGHT FOOT",1.0,19.0,19.0
"GANGRENE, RIGHT LOWER EXTREMITY",4.0,9.0,15.75
"GANGRENE,BILATERAL FEET",1.0,21.0,21.0
"GANGRENE,LT LOWER EXTREMITY",1.0,14.0,14.0
"GANGRENE,RIGHT FOOT",4.0,14.333333333333334,11.200000000000001
GANGRENE/SDA,3.5,3.5,12.9
GANGRENE/SDA\RIGHT LOWER EXTREMITY ANGIOGRAM;PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY TO VEIN GRAFT,2.0,4.0,7.5
GANGRENE;CHEST PAIN,2.0,25.0,34.5
GANGRENE;TELEMETRY,3.0,12.0,12.0
GANGRENE\ANAGRADE LOWER EXTREMITH ANGIOGRAM,1.0,21.0,21.0
GANGRENOUS CHOLECYSTITIS,1.5,14.0,12.75
GANGRENOUS RIGHT LEG,3.0,10.0,23.0
GARBLED SPEECH,1.0,4.0,4.0
GARDNERS SYNDROME,12.0,13.0,10.666666666666666
GASROINTESTINAL BLEED;ACUTE RENAL FAILURE;ALTERED MENTAL STATUS,1.0,62.0,62.0
GASSTROINTESTINAL BLEED,3.0,9.0,9.0
GASTORINTESTINAL BLEED,2.0,2.0,4.0
GASTRIC ADENOCARCINOMA/SDA,1.0,12.5,12.5
GASTRIC AND ESOPHAGEAL VARICES,2.0,11.0,17.5
GASTRIC BLEED,1.0,1.0,1.0
GASTRIC CA,2.0,12.0,12.0
GASTRIC CA/SDA,1.6,15.0,14.3
GASTRIC CANCER,1.0,33.0,33.0
GASTRIC CANCER/SDA,1.8571428571428572,18.714285714285715,15.5
GASTRIC CANCER;PANCREATITIS,4.0,20.0,13.0
GASTRIC CANCER;PNEUMONIA,2.0,12.0,20.5
GASTRIC CARDIA/SDA,2.0,20.0,11.0
GASTRIC FOREIGN BODY;VOLVULUS,2.0,13.0,7.5
GASTRIC FUNDAL VARICES STAGE 4/SDA,1.0,42.0,42.0
GASTRIC MASS,1.0,7.0,7.0
GASTRIC MASS/SDA,1.5,20.5,17.5
GASTRIC OBSTRUCTION,1.5,9.0,7.0
GASTRIC OUTLET,1.0,25.0,25.0
GASTRIC OUTLET OBSTRUCTION,2.0,19.2,21.05
GASTRIC PERFORATION,1.0,27.0,27.0
GASTRIC STUMP CANCER/SDA,1.0,12.0,12.0
GASTRIC TUMOR/SDA,1.0,9.0,9.0
GASTRIC ULCER;BLEED,5.0,1.0,7.0
GASTRIC VARICIES,1.0,3.0,3.0
GASTRIC VOLVULUS,1.0,6.75,6.75
GASTRINOMA/SDA,1.5,9.0,11.0
GASTRIOINTESTINAL BLEED,2.0,4.0,3.5
GASTRO CUTANEOUS FISTULA,1.0,101.0,101.0
GASTRO ESOPHAGEAL REFLEX/SDA,1.0,15.0,15.0
GASTRO ESOPHAGEL REFLUX DISEASE/SDA,2.0,6.0,4.0
GASTRO INTESTINAL BLEED,2.3333333333333335,1.0,3.0666666666666664
GASTRO INTESTINAL BLEEDING,1.0,15.0,15.0
GASTRO INTESTINAL MALIGNANCY,2.0,12.0,8.5
GASTROADENOCARCINOMA/SDA,1.0,13.0,13.0
GASTROENTERITIS,2.3333333333333335,2.6666666666666665,4.25
"GASTROENTERITIS,CHEST PAIN",2.0,5.0,6.5
GASTROENTERITIS/OI,1.0,6.0,6.0
"GASTROESOPHAGEAL JUNCTION, ESOPHAGEAL MASS/SDA",1.0,8.0,8.0
GASTROESOPHAGEAL REFLUX DISEASE/SDA,4.0,6.0,6.25
GASTROINSTESTINAL BLEED,2.0,1.0,12.0
GASTROINTESINAL BLEED,2.0,4.0,13.5
GASTROINTESITINAL BLEED,2.0,4.0,16.5
GASTROINTESTINAL BLEE,2.0,7.0,6.0
GASTROINTESTINAL BLEED,1.967930029154519,7.211370262390671,7.857968060446192
"GASTROINTESTINAL BLEED, CHEST PAIN;TELEMETRY",1.0,8.0,8.0
"GASTROINTESTINAL BLEED, S/P CARDIAC ARREST",1.0,1.0,1.0
"GASTROINTESTINAL BLEED,SPONTANEOUS BACTERIAL PERITONITIS",1.0,6.0,6.0
GASTROINTESTINAL BLEED-ACUTE RENAL FAILURE,4.0,6.0,11.5
GASTROINTESTINAL BLEED-ADVANCED LIVER FAILURE,1.0,40.0,40.0
GASTROINTESTINAL BLEED-ANEMIA,3.0,3.0,4.25
GASTROINTESTINAL BLEED-ETOH WITHDRAWAL,3.0,9.0,4.0
GASTROINTESTINAL BLEED-LOW HAMATOCRIT,5.0,1.0,5.8
GASTROINTESTINAL BLEED-MYOCARDIAL INFARCTION,1.0,6.0,6.0
GASTROINTESTINAL BLEED-R/O MYOCARDIAL INFARCTION,6.0,7.0,10.166666666666666
GASTROINTESTINAL BLEED-RLL PNEUMONIA-R/O MI,2.0,11.0,11.5
GASTROINTESTINAL BLEED-SUBDURAL BLEED,1.0,3.0,3.0
GASTROINTESTINAL BLEED/JAUNDICE,3.0,5.0,4.0
GASTROINTESTINAL BLEED/THROMBOCYTOPENIA,1.0,4.0,4.0
GASTROINTESTINAL BLEED;,5.0,5.0,9.6
GASTROINTESTINAL BLEED; R/O MI,5.0,4.0,5.6
GASTROINTESTINAL BLEED; SMALL BOWEL OBSTRUCTION,1.0,5.0,5.0
GASTROINTESTINAL BLEED;;TELEMETRY,1.0,5.0,5.0
GASTROINTESTINAL BLEED;ACUTE CORONARY SYNDROME,2.0,6.0,4.5
GASTROINTESTINAL BLEED;ACUTE MI,1.0,5.0,5.0
GASTROINTESTINAL BLEED;ACUTE RENAL FAILURE,2.0,31.0,41.5
GASTROINTESTINAL BLEED;ACUTE RENAL FAILURE;RESPPIRATORY ARREST,1.0,24.0,24.0
GASTROINTESTINAL BLEED;ALTERED MENTAL STATUS,1.0,7.5,7.5
GASTROINTESTINAL BLEED;ANEMIA,1.4,5.8,6.9
GASTROINTESTINAL BLEED;ASCITES;FEVER,1.0,5.0,5.0
GASTROINTESTINAL BLEED;CHEST PAIN;TELEMETRY,1.0,5.0,5.0
GASTROINTESTINAL BLEED;CHEST PAIN;TELEMETRY;SHORTNESS OF BREATH,21.0,6.0,5.333333333333333
GASTROINTESTINAL BLEED;CHRONIC OBST PULM DISEASE,8.0,8.0,8.75
GASTROINTESTINAL BLEED;CIRRHOSIS,5.0,4.0,8.6
GASTROINTESTINAL BLEED;COMMON VARIABLE IMMUNODEFICIENCY,1.0,26.0,26.0
GASTROINTESTINAL BLEED;COPD EXACERBATION,3.0,11.0,9.666666666666666
GASTROINTESTINAL BLEED;DEHYDRATION;PNEUMONIA,1.0,17.0,17.0
GASTROINTESTINAL BLEED;DIABETIC KETOACIDOSIS;S/P CARDIAC ARREST,1.0,8.0,8.0
GASTROINTESTINAL BLEED;DUODENAL LIPOMA,1.0,3.0,3.0
GASTROINTESTINAL BLEED;DUODENAL ULCER;DOWN SYNDOME;URINARY TRACT INFECTION,1.0,17.0,17.0
GASTROINTESTINAL BLEED;ESOPHAGEAL VARICIES,1.0,2.0,2.0
GASTROINTESTINAL BLEED;HEPATITIS C,1.0,9.0,9.0
GASTROINTESTINAL BLEED;HEPETITIS C,1.0,0.0,0.0
GASTROINTESTINAL BLEED;HYPERKALEMIA,6.0,16.0,10.833333333333334
