,terms
25283,inflammatory polyps colon fistula
25284,heat exposure board merchant ship sequela
25285,helminthiasis unspecified
25286,unspecified nondisplaced fracture surgical neck unspecified humerus sequela
25287,unspecified fracture unspecified femur fracture
25288,swimming-pool non-institutional residence place occurrence
25289,subluxation unspecified interphalangeal joint finger
25290,motorcycle passenger injured collision transport bus nontraffic accident
25291,burn fishing boat fire
25292,war operations rubber bullets military personnel
25293,pigmentary glaucoma unspecified eye moderate stage
25294,tonic pupil bilateral
25295,Statuspost cardiac arrest
25296,superficial bite middle finger
25297,spastic entropion unspecified eye unspecified eyelid
25298,drowning submersion jumping crushed sailboat sequela
25299,incarcerated fracture avulsion medial epicondyle humerus sequela
25300,personality behavioral disorders physiological
25301,unspecified pre-eclampsia puerperium
25302,contusion hand sequela
25303,specified myoneural disorders
25304,kwashiorkor
25305,disorders optic chiasm disorders
25306,nondisplaced fracture trapezium larger multangular wrist sequela
25307,Vomiting
25308,kearns-sayre syndrome eye
25309,chronic venous hypertension idiopathic inflammation extremity
25310,war operations fires conflagrations hot civilian
25311,nontraumatic ischemic infarction unspecified thigh
25312,spotting pregnancy unspecified trimester
25313,pathological fracture disease radius sequela
25314,puncture wound foreign body unspecified elbow
25315,partial traumatic transphalangeal amputation finger sequela
25316,nondisplaced segmental fracture shaft unspecified femur fracture
25317,spontaneous rupture extensor tendons unspecified ankle foot
25318,nondisplaced segmental fracture shaft humerus arm fracture malunion
25319,nondisplaced transverse-posterior fracture unspecified acetabulum fracture nonunion
25320,non-pressure chronic ulcer buttock bone evidence necrosis
25321,partial intestinal obstruction
25322,sezary disease lymph nodes sites
25323,Ascending aorta replacement
25324, pneumocephalus
25325,incarcerated fracture avulsion medial epicondyle humerus fracture nonunion
25326,complex tear medial meniscus injury unspecified knee
25327,injury fascia tendon parts biceps arm
25328,optic neuritis
25329,interruption aortic arch
25330,superficial frostbite unspecified sites sequela
25331,injury cranial nerves
25332,basal cell carcinoma skin nose
25333,congenital malformation sternum
25334,drug-induced gout ankle foot
25335,displaced pilon fracture tibia sequela
25336,nondisplaced comminuted fracture unspecified patella fracture iiia iiib iiic
25337,deficits nontraumatic intracerebral hemorrhage
25338, coronary artery disease  diabetes mellitus 
25339,passenger injured collision pedal cycle nontraffic accident
25340,nontoxic goiter unspecified
25341,salmonella pneumonia
25342,unspecified sprain unspecified lesser toes
25343,fatigue fracture vertebra thoracic region sequela fracture
25344,laceration splenic vein
25345,hepatic fibrosis
25346,labyrinthine fistula bilateral
25347,nondisplaced transverse fracture shaft fibula fracture nonunion
25348,nondisplaced fracture lateral unspecified clavicle fracture malunion
25349,osteonecrosis diseases shoulder
25350,major laceration femoral vein hip thigh unspecified leg sequela
25351,displaced fracture medial malleolus tibia fracture
25352,polyneuropathy unspecified
25353,hepatic veno-occlusive disease
25354,anterior subluxation unspecified radial head sequela
25355,hearing examination hearing
25356,skull birth injury
25357,corrosion degree unspecified ear ear drum sequela
25358,corrosions ear drum
25359,drowning submersion washed overboard powered watercraft
25360,deaf nonspeaking
25361,pneumococcal arthritis hip
25362,unspecified malignant neoplasm skin limb hip
25363,disorders ear diseases bilateral
25364,unspecified fracture shaft unspecified radius fracture iiia iiib iiic malunion
25365,amyelia
25366,congenital malformation heart unspecified
25367,primary open-angle glaucoma eye severe stage
25368, aspergillosis
25369,presence artificial eye
25370,traumatic hemopneumothorax sequela
25371,infective tenosynovitis wrist
25372,passenger three-wheeled injured collision unspecified vehicles nontraffic accident sequela
25373,displaced fracture neck radius fracture iiia iiib iiic malunion
25374,osteitis condensans ankle foot
25375,unspecified obstruction eustachian tube unspecified ear
25376,underdosing unspecified
25377,unspecified fracture unspecified toes sequela
25378,major osseous defect forearm
25379,sprain interphalangeal joint toe sequela
25380,corrosion unspecified degree forehead cheek sequela
25381,osteitis condensans forearm
25382,displaced fracture lateral condyle humerus fracture nonunion
25383, colonic dysplasia 
25384,vascular disorders iris ciliary body unspecified eye
25385,fatigue fracture vertebra lumbosacral region fracture
25386,exudative retinopathy unspecified eye
25387,nontraumatic intracerebral hemorrhage localized
25388,pressure ulcer heel unspecified stage
25389,juvenile osteochondrosis spine thoracic region
25390,stress fracture toes fracture nonunion
25391,osteoporosis pathological fracture unspecified hand fracture healing
25392,drowning submersion accident passenger ship
25393,stress fracture pelvis fracture
25394,non-pressure chronic ulcer unspecified heel midfoot necrosis
25395,conjunctivochalasis unspecified eye
25396,idiopathic aseptic necrosis fibula
25397,displaced unspecified fracture unspecified lesser toes sequela
25398,osteonecrosis unspecified ankle
25399,displaced fracture hook hamate unciform bone wrist fracture healing
25400,laceration plantar artery unspecified foot sequela
25401,nondisplaced fracture lesser trochanter femur fracture iiia iiib iiic nonunion
25402,osteochondrosis juvenile metacarpal heads mauclaire unspecified hand
25403,genitourinary symptomatic syphilis
25404,macular cyst hole pseudohole unspecified eye
25405,local local undetermined
25406,exposure tanning sequela
25407,Prolonged intubation posttracheostomy evaluate swallowing
25408,laceration unspecified pancreas unspecified degree sequela
25409,nondisplaced fracture triquetrum cuneiform bone unspecified wrist sequela
25410,abrasion unspecified hand sequela
25411,kaschin-beck disease unspecified ankle foot
25412,acute anal fissure
25413,instability unspecified joint
25414,inadequate social skills
25415,pathological fracture neoplastic disease foot fracture malunion
25416,fracture unspecified neck femur fracture healing
25417,injury internal carotid artery intracranial portion loss consciousness death brain injury regaining consciousness
25418,chronic ischemic heart disease unspecified
25419,ultralight microlight powered-glider fire injuring occupant
25420,non-pressure chronic ulcer back limited breakdown skin
25421,abnormality alphafetoprotein
25422,sprain acromioclavicular joint sequela
25423,specified disorders eustachian tube bilateral
25424,cerebral infarction unspecified occlusion stenosis unspecified cerebellar artery
25425,burn unspecified degree fingers nail thumb
25426,injury musculocutaneous nerve arm
25427,fall same slipping tripping stumbling striking against power tool machine
25428,unspecified fracture unspecified thoracic vertebra fracture
25429,miscellaneous orthopedic devices adverse incidents
25430,fracture talus fracture malunion
25431,forms erysipeloid
25432,military operations explosion unspecified weapon military personnel sequela
25433,child sexual exploitation confirmed sequela
25434,unspecified rotator cuff tear rupture unspecified shoulder specified traumatic
25435,drowning submersion merchant ship overturning
25436,crushing injury wrist
25437,burkitt lymphoma intra-abdominal lymph nodes
25438,trichinellosis
25439,stress family family member military deployment
25440,war operations direct blast effect nuclear weapon civilian sequela
25441,pedestrian conveyance injured collision transport bus unspecified whether traffic nontraffic accident sequela
25442,condyloma latum
25443, new shortness of breath
25444,disorders bone development growth hand
25445,unspecified injury muscles fascia tendons forearm arm
25446,person outside injured collision fixed stationary object nontraffic accident sequela
25447,albinism hematologic abnormality
25448,fatigue fracture vertebra thoracic region fracture healing
25449,agnosia
25450,accident gliding-type pedestrian conveyance
25451,unspecified fracture wrist hand fracture malunion
25452,unspecified fracture femur fracture healing
25453,subluxation unspecified knee sequela
25454,pre-existing hypertensive chronic kidney disease pregnancy trimester
25455,drug-induced chronic gout elbow tophus tophi
25456,swimming-pool boarding-house place occurrence
25457,immunization carried out because refusal
25458,acute vulvitis
25459,postprocedural hematoma skin subcutaneous tissue
25460,echinococcosis unspecified
25461,dependence opioid-induced mood disorder
25462,abnormal results liver studies
25463,mooren's corneal ulcer eye
25464,unstable burst fracture cervical vertebra fracture healing
25465,nondisplaced segmental fracture shaft unspecified tibia fracture iiia iiib iiic
25466,disorder
25467,nondisplaced fracture distal pole navicular scaphoid bone unspecified wrist sequela
25468,specified dorsopathies site unspecified
25469,varus deformity unspecified
25470,laceration sigmoid colon
25471,bitten rodent sequela
25472,specified spondylopathies sacral sacrococcygeal region
25473,unspecified sprain unspecified elbow
25474,injury extensor fascia tendon unspecified finger forearm sequela
25475,disorders connective tissue diseases
25476,halitosis
25477,unspecified fracture acetabulum fracture healing
25478,sprain jaw sequela
25479, hip fracture 
25480,unspecified symptoms signs cognitive functions cerebral infarction
25481,neutropenia infection
25482,corrosion degree unspecified site unspecified limb ankle foot sequela
25483,unspecified lagophthalmos eye unspecified eyelid
25484,connective tissue stenosis neural canal sacral region
25485,laceration fascia tendon unspecified hip
25486,person boarding alighting three-wheeled injured collision pick-up truck van sequela
25487,driver pick-up truck van injured collision unspecified vehicles nontraffic accident
25488,war operations explosion accidental detonation discharge own munitions munitions launch device civilian
25489,paraphilias
25490,unspecified focal traumatic brain injury loss consciousness pre-existing conscious
25491,hang-glider crash injuring occupant sequela
25492,personal in-situ neoplasm cervix uteri
25493,transitory ileus newborn
25494,subluxation unspecified interphalangeal joint index finger sequela
25495,atherosclerosis artery bypass grafts angina pectoris
25496,malignant neoplasm spermatic cord
25497,staphylococcal arthritis unspecified knee
25498,specified injury achilles tendon sequela
25499,acute abdomen
25500,disorders diseases leg
25501,listerial meningoencephalitis
25502,Coronary artery disease hypertension neurological deficits
25503,partial traumatic amputation forearm unspecified sequela
25504,unspecified physeal fracture phalanx toe sequela
25505,nondisplaced fracture lateral condyle unspecified humerus sequela
25506,toxic effect undetermined
25507,arthropathies wrist
25508,strain specified muscles tendons ankle foot foot sequela
25509,driver injured collision pedestrian nontraffic accident sequela
25510,passenger pick-up truck van injured collision pedestrian nontraffic accident sequela
25511,incorrect dilution fluid infusion
25512,charcot's joint wrist
25513,epispadias
25514,fractures radius fracture iiia iiib iiic healing
25515,traumatic spondylopathy lumbosacral region
25516,postprocedural complications disorders digestive
25517,osteitis deformans vertebrae
25518,specified bursopathies unspecified site
25519,fracture medial orbital unspecified sequela
25520,injury fallopian tube unilateral sequela
25521,injury inferior vena cava
25522,sprain interphalangeal joint little finger
25523,displaced fracture lateral clavicle fracture malunion
25524,meningeal tuberculoma
25525,gonococcal conjunctivitis
25526,nontoxic diffuse goiter
25527,physeal fracture fibula fracture
25528,injury nerves ankle foot unspecified leg sequela
25529,anterior subluxation unspecified radial head
25530,gastric contents esophagus causing compression trachea
25531,displaced fracture coronoid unspecified ulna fracture malunion
25532,nondisplaced comminuted fracture shaft unspecified femur fracture iiia iiib iiic healing
25533,fracture shaft unspecified femur fracture
25534,leakage specified internal prosthetic devices implants grafts
25535,war operation effects nuclear weapons military personnel
25536,fracture shoulder girdle unspecified sequela
25537,infection inflammatory reaction prosthetic device implant graft genital tract
25538,gestational diabetes mellitus puerperium
25539,adhesions ankylosis temporomandibular joint
25540,dermatochalasis eye unspecified eyelid
25541,abuse
25542,unspecified fracture unspecified ilium fracture
25543,Status post coronary artery bypass surgery
25544,Hypotension C diff
25545,non-pressure chronic ulcer back fat layer exposed
25546,abnormal result cardiovascular study unspecified
25547,pedestrian skateboard injured collision nonmotor traffic accident
25548,unspecified place prison place occurrence
25549,postprocedural hemorrhage digestive organ
25550,arteriovenous malformation cerebral vessels
25551,displaced fracture proximal navicular scaphoid bone wrist sequela
25552,cholesteatoma attic ear
25553,laceration intestine sequela
25554,contusion breast
25555, central line
25556,bone marrow transplant infection
25557,Burn other unpowered on fire 
25558,dementia lewy bodies
25559,crushing injury neck unspecified sequela
25560,elementary school place occurrence
25561,person outside bus injured noncollision transport accident nontraffic accident
25562,constriction index finger sequela
25563,fall dock
25564,hormone intentional self-harm
25565,injury muscles tendons rotator cuff unspecified shoulder
25566,unspecified occupant three-wheeled injured collision vehicles traffic accident
25567,bariatric surgery status pregnancy unspecified trimester
25568,unspecified otosclerosis bilateral
25569,unspecified injury abdominal aorta sequela
25570,family human immunodeficiency virus hiv disease
25571,osteonecrosis diseases unspecified ankle foot
25572,nondisplaced articular fracture head femur fracture healing
25573,unspecified fracture toes fracture
25574,minor laceration branches celiac mesenteric artery sequela
25575,mature t/nk-cell lymphomas unspecified intra-abdominal lymph nodes
25576,traumatic amputation unspecified ear sequela
25577,lordosis unspecified lumbosacral region
25578,legal intervention manhandling suspect injured
25579,partial loss teeth specified unspecified class
25580,congenital ptosis
25581,breakdown indwelling urethral catheter sequela
25582,stiffness wrist
25583,unspecified wound cavity
25584, status post lumbar decompression
25585,complications foreign body accidentally body endoscopic examination sequela
25586,hyperchylomicronemia
25587,nondisplaced apophyseal fracture femur fracture
25588,felty's syndrome ankle foot
25589,unspecified fracture metacarpal bone unspecified hand fracture malunion
25590,specified pregnancy unspecified trimester
25591,drowning submersion jumping crushed sailboat
25592,strain intrinsic fascia tendon thumb wrist hand
25593,malignant neoplasm overlapping sites oropharynx
25594,passenger pick-up truck van injured collision pick-up truck van nontraffic accident
25595,passenger bus injured collision two- three-wheeled traffic accident
25596,gestation pregnancy specified
25597,unspecified superficial injury knee
25598,anal fissure unspecified
25599,nondisplaced apophyseal fracture femur fracture iiia iiib iiic malunion
25600,laceration unspecified tendon ankle foot unspecified foot
25601,nondisplaced fracture capitate magnum bone unspecified wrist fracture healing
25602,candidal enteritis
25603,cardiovascular syphilis unspecified
25604,perforation gallbladder
25605,nondisplaced fracture body hamate unciform bone unspecified wrist fracture healing
25606,war operations unarmed hand hand combat civilian sequela
25607,anterior spinal artery compression syndromes cervical region
25608,synovial hypertrophy site
25609,traumatic arthropathy unspecified wrist
25610,acute follicular conjunctivitis unspecified eye
25611,specified disorders parathyroid gland
25612,aural vertigo ear
25613,congenital zika virus disease
25614,motorcycle passenger injured collision pedal cycle traffic accident sequela
25615,specified bursopathies hip
25616,sezary disease lymph nodes head face neck
25617, elevated white blood cell count
25618,inhalant dependence intoxication unspecified
25619,sickle-cell/hb-c disease acute chest syndrome
25620,lipoid disorders
25621,injury unspecified iliac blood vessels
25622,unspecified injury bronchus bilateral sequela
25623,injury cutaneous sensory nerve leg unspecified leg sequela
25624, osteomyelitis at C3 to C5 level
25625,epiphora lacrimation bilateral lacrimal glands
25626,unspecified occupant pick-up truck van injured collision unspecified vehicles traffic accident sequela
25627,porphyria
25628,agranulocytosis secondary cancer
25629,specified injury quadriceps fascia tendon
25630,respiratory inflammation
25631,unspecified trochanteric fracture unspecified femur sequela
25632,smallpox assault
25633,zoster encephalitis
25634,pathological fracture disease fibula fracture
25635,postinfective urethral stricture overlapping sites
25636,displaced fracture distal pole navicular scaphoid bone wrist fracture nonunion
25637,puckering macula eye
25638,disorders optic nerve bilateral
25639,displaced fracture cuboid bone unspecified foot sequela
25640,accident flat-bottomed pedestrian conveyance sequela
25641,military firearm discharge undetermined intent sequela
25642,Metastatic colon cancer
25643,osteoporosis pathological fracture ankle foot fracture malunion
25644,examination immediately delivery
25645,unspecified fracture unspecified foot sequela
25646,unspecified machinery
25647,acquired stenosis ear canal unspecified
25648,nondisplaced fracture shaft metacarpal bone hand fracture
25649,contusion thigh
25650,injury unspecified fascia tendon shoulder arm unspecified arm
25651,sprain interphalangeal joint finger
25652,diplacusis ear
25653,bitten pig
25654,asymptomatic human immunodeficiency virus hiv infection status
25655,Myocardial infarction congestive heart failure assess for
25656,struck baseball bat sequela
25657,synovial hypertrophy thigh
25658,bent bone unspecified ulna fracture iiia iiib iiic healing
25659,paraphimosis
25660,unspecified injury muscles fascia tendons forearm unspecified arm
25661,superficial injuries unspecified thumb sequela
25662,contusion ear
25663,anemia disorders nucleotide metabolism
25664,chronic embolism thrombosis specified vein extremity
25665,manifestations deficiency
25666,unspecified injury lung unspecified sequela
25667,displaced comminuted fracture shaft tibia fracture iiia iiib iiic malunion
25668,fracture tibia fibula insertion orthopedic implant joint prosthesis bone plate unspecified leg
25669,nondisplaced segmental fracture shaft femur fracture iiia iiib iiic malunion
25670,laceration inferior mesenteric vein sequela
25671,explosion rupture boiler sequela
25672,ankyloglossia
25673,HIV pneumococcal pneumonia
25674,exposure man-made environmental factors
25675,passenger transport injured collision railway train railway traffic accident
25676,bite unspecified thumb damage nail
25677,occlusion stenosis cerebellar arteries
25678,spastic entropion eye unspecified eyelid
25679,myositis shoulder
25680,subluxation carpometacarpal joint hand
25681,corrosions ear drum sequela
25682,unspecified fracture calcaneus fracture nonunion
25683,reaction peritoneal dialysis catheter 
25684,corrosion degree palm sequela
25685,unspecified injury superior vena cava
25686,stress fracture unspecified tibia fibula fracture
25687,ectopic pregnancy intrauterine pregnancy
25688,idiopathic scoliosis site unspecified
25689,chronic hematogenous osteomyelitis unspecified femur
25690,nondisplaced fracture distal pole navicular scaphoid bone unspecified wrist fracture
25691,driver transport injured collision fixed stationary object traffic accident
25692,driver bus injured collision transport bus nontraffic accident sequela
25693,strain intrinsic fascia tendon finger wrist hand
25694,monteggia's fracture ulna fracture iiia iiib iiic nonunion
25695,strain fascia tendon head biceps arm sequela
25696,displaced transcondylar fracture unspecified humerus fracture
25697,specified injury ulnar artery forearm arm sequela
25698,infectious gastroenteritis colitis unspecified
25699,stable burst fracture unspecified lumbar vertebra fracture nonunion
25700,displaced fracture base metacarpal bone fracture malunion
25701,military operations unintentional restriction airway civilian sequela
25702,portal hypertension
25703,spontaneous rupture extensor tendons forearm
25704,fracture orbital roof unspecified sequela
25705,sickle-cell/hb-c disease crisis unspecified
25706,cervical duplication
25707,bronchitis rhinovirus
25708,unspecified fracture unspecified forearm sequela
25709,follicular lymphoma unspecified lymph nodes axilla limb
25710,nondisplaced trimalleolar fracture leg fracture iiia iiib iiic nonunion
25711, elevated white blood cell on
25712,spasm calf
25713,failure dosage unspecified surgical
25714,hantavirus cardio-pulmonary syndrome hps hcps
25715,glutaric aciduria
25716,subsegmental pulmonary emboli acute cor pulmonale
25717,single live birth
25718,arteriovenous malformation precerebral vessels
25719,lobular carcinoma situ breast
25720,superficial bite nose
25721,stress fracture unspecified humerus fracture malunion
25722,nondisplaced fracture lateral condyle unspecified femur fracture
25723,carcinoma situ unspecified
25724,displaced fracture metatarsal bone foot fracture healing
25725,unspecified intoxication perceptual disturbance
25726,toxoplasma oculopathy unspecified
25727,displaced fracture distal phalanx unspecified thumb fracture malunion
25728,unspecified wound hip sequela
25729,herniation continent stoma urinary tract
25730,chronic multifocal osteomyelitis unspecified ankle foot
25731,full-term premature rupture membranes onset labor within rupture
25732,malignant melanoma unspecified eyelid canthus
25733,enteroviral vesicular stomatitis exanthem
25734,specified fracture unspecified ischium fracture
25735,unspecified motorcycle rider injured collision vehicles nontraffic accident sequela
25736,unspecified degenerative disorder globe
25737,melanoma situ breast skin soft tissue
25738,benign neoplasm pharynx unspecified
25739,unspecified dislocation knee
25740,displaced avulsion fracture ilium fracture
25741,laryngocele
25742,testicular dysfunction
25743,effect pressure water pressure unspecified sequela
25744,neoplasm uncertain behavior uterus
25745,acute toxic conjunctivitis eye
25746,glaucoma secondary unspecified eye mild stage
25747,nondisplaced unspecified fracture unspecified toe fracture
25748,chronic slipped femoral epiphysis nontraumatic unspecified hip
25749,legal intervention injury handgun bystander injured
25750,laceration tendon extensor toe ankle foot unspecified foot sequela
25751,hepatic failure unspecified coma
25752,dependence intoxication perceptual disturbance
25753,major contusion spleen
25754,eisenmenger's syndrome
25755,fracture unspecified carpal bone wrist fracture malunion
25756,palpitations
25757,hypertrichosis eyelid
25758,maternal benign tumor corpus uteri unspecified trimester
25759,displaced oblique fracture shaft unspecified femur fracture
25760,displacement internal fixation device bone leg
25761,unspecified disorder ear bilateral
25762,unspecified injury fascia tendon pelvis
25763,unspecified fracture shaft unspecified fibula fracture healing
25764,nondisplaced comminuted fracture shaft humerus unspecified arm fracture nonunion
25765,diseases digestive childbirth
25766,lead-induced gout unspecified elbow
25767,asphyxiation intentional self-harm
25768,actinomycosis unspecified
25769,salter-harris physeal fracture unspecified tibia sequela
25770,parts respiratory tract causing injury sequela
25771,risk dental caries moderate
25772,calcification hand
25773,major laceration tail pancreas
25774,unspecified fracture humerus fracture nonunion
25775,low-tension glaucoma unspecified eye indeterminate stage
25776,specified disorders bone density unspecified forearm
25777,nondisplaced fracture shaft clavicle fracture healing
25778,gender identity disorder unspecified
25779,displacement cardiac electronic device
25780,injury unspecified uterine vein sequela
25781,spondylosis myelopathy radiculopathy occipito-atlanto-axial region
25782,newborn affected slow intrauterine growth unspecified
25783,superficial frostbite unspecified ear
25784,struck football
25785,abuse hallucinogen-induced psychotic disorder delusions
25786,unspecified displaced fracture surgical neck humerus fracture nonunion
25787,presence artificial ankle joint
25788,adverse effect diagnostic sequela
25789,postprocedural acute chronic kidney failure
25790,neoplasm pain acute chronic
25791,chronic allergic otitis media bilateral
25792,disorder ligament shoulder
25793,mucopurulent chronic bronchitis
25794,corrosion degree sites unspecified wrist hand
25795,juvenile osteochondrosis tarsus unspecified ankle
25796,blister nonthermal toe
25797,constriction thigh sequela
25798,bipolar disorder episode hypomanic
25799,hutchinson's teeth
25800,abnormal immunological specimens genital organs
25801,pressure ulcer back unstageable
25802,superficial bite unspecified parts thorax
25803, familial cardiomyopathy 
25804,nondisplaced fracture proximal phalanx unspecified lesser toes fracture
25805,water transport accident
25806,cystoid macular degeneration eye
25807,congenital methemoglobinemia
25808,deletions chromosome
25809,major osseous defect unspecified humerus
25810,unspecified occupant injured collision van nontraffic accident
25811,displaced fracture trapezium larger multangular wrist fracture nonunion
25812,nondisplaced longitudinal fracture patella fracture nonunion
25813,nonpyogenic meningitis
25814,spastic diplegic cerebral palsy
25815,encephalocele unspecified
25816,displaced fracture lateral clavicle sequela
25817,superficial bite unspecified ear sequela
25818,religious institution place occurrence
25819,underdosing affecting metabolism
25820,assault drowning submersion sequela
25821,unspecified cataract
25822, myelodysplastic syndrome status post two
25823,hemarthrosis specified site
25824,anterior spinal artery compression syndromes lumbar region
25825,palindromic rheumatism hip
25826,postdysenteric arthropathy unspecified elbow
25827,carcinoma situ cavity unspecified site
25828,spondylopathy diseases sacral sacrococcygeal region
25829,Paracentesis
25830,deprivation amblyopia unspecified eye
25831,cellulitis abscess mouth
25832,varicose veins extremity ulcer extremity inflammation
25833,unspecified wound unspecified hip sequela
25834,adverse effect specified sequela
25835,unspecified retinoschisis unspecified eye
25836,unspecified injury unspecified hip
25837,laceration foreign body unspecified toes damage nail
25838,contusion abdominal
25839,corrosion unspecified degree unspecified ankle
25840,ectopic anus
25841,pedal cycle passenger injured collision pick-up truck van nontraffic accident
25842,traumatic amputation between knee ankle unspecified leg
25843,unspecified pulmonary hemorrhage originating perinatal period
25844,infection inflammatory reaction pump sequela
25845,breakdown surgically created arteriovenous fistula
25846,person outside three-wheeled injured collision pick-up truck van nontraffic accident sequela
25847,abnormal immunological specimens digestive organs abdominal cavity
25848,necrosis amputation stump unspecified extremity
25849,motorcycle driver injured collision pedal cycle traffic accident sequela
25850,smallpox
25851,deficiency nutrient elements
25852,non-follicular diffuse lymphoma unspecified intrathoracic lymph nodes
25853,stepbrother perpetrator maltreatment neglect
25854, respiratory failure
25855,influenza influenza virus myocarditis
25856,unspecified fracture vertebra sequela
25857,displaced fracture lesser trochanter femur fracture iiia iiib iiic healing
25858,prostatic coccidioidomycosis
25859,degree hemorrhoids
25860,idiopathic chronic gout hand tophus tophi
25861,acute fulminating melioidosis
25862,contusion front thorax
25863,Rule out intracranial hemorrhage
25864,slow feeding newborn
25865,specified perinatal disorders
25866,chronic gingivitis plaque induced
25867,lead-induced gout unspecified wrist
25868,traumatic amputation nose
25869,major laceration unspecified carotid artery sequela
25870,adverse effect primarily affecting cardiovascular
25871,infective tenosynovitis knee
25872,nondisplaced fracture glenoid cavity scapula shoulder sequela
25873,specified injury superior vena cava
25874,fetomaternal placental transfusion syndrome trimester
25875,galeazzi's fracture radius fracture iiia iiib iiic nonunion
25876,respiratory disorders diseases
25877,fracture leg fracture iiia iiib iiic nonunion
25878,Trauma replaced chest tube
25879,activity martial arts
25880,paresis accommodation bilateral
25881,hypertrophy bone ankle foot
25882,Heparin induced thrombocytopenia
25883,dislocation carpometacarpal joint hand sequela
25884,powered garden outdoor hand tools machinery sequela
25885,benign neoplasm skin unspecified ear auricular canal
25886,pathological fracture neoplastic disease pelvis sequela
25887,nondisplaced fracture metatarsal bone unspecified foot fracture nonunion
25888,struck orca
25889,specified disorders skin subcutaneous tissue radiation
25890,hemorrhage internal orthopedic prosthetic devices implants grafts sequela
25891,unspecified cervical disc disorder mid-cervical region unspecified
25892, confusion
25893,superficial frostbite foot
25894,nondisplaced fracture proximal phalanx toe fracture nonunion
25895,abuse stimulant-induced psychotic disorder unspecified
25896,pathological fracture neoplastic disease unspecified shoulder fracture nonunion
25897,injury unspecified muscles fascia tendons forearm unspecified arm
25898,malignant carcinoid tumor jejunum
25899,sclerosing mesenteritis
25900,fracture occiput unspecified fracture
25901,acquired absence pancreas
25902,focal chorioretinal inflammation unspecified eye
25903,specified disorders amniotic fluid membranes unspecified trimester fetus
25904,edge stiff paper
25905,familial hypophosphatemia
25906,ulcerative chronic rectosigmoiditis intestinal obstruction
25907,unspecified trochanteric fracture unspecified femur fracture iiia iiib iiic healing
25908,unspecified physeal fracture unspecified fibula fracture nonunion
25909,reaction internal fixation device of right fibula 
25910,unspecified fracture shaft unspecified tibia fracture malunion
25911,specified injury unspecified blood vessel forearm arm sequela
25912,cerebral infarction unspecified occlusion stenosis cerebral artery
25913,unspecified wound specified neck sequela
25914,lobulated fused horseshoe kidney
25915,drowning submersion thrown overboard motion merchant ship
25916,diabetes mellitus underlying mild nonproliferative diabetic retinopathy macular edema bilateral
25917,military operations intentional restriction airway civilian
25918,osteopathy diseases unspecified leg
25919,traumatic compartment syndrome unspecified extremity
25920,injury facial nerve
25921,rheumatoid myopathy rheumatoid arthritis unspecified knee
25922,displaced fracture avulsion lateral epicondyle unspecified humerus sequela
25923,congenital stenosis stricture esophagus
25924,primary open-angle glaucoma unspecified eye severe stage
25925, history of abdominal abscess  now with 
25926,congenital kyphosis thoracolumbar region
25927,injury ovary bilateral
25928,acute embolism thrombosis calf muscular vein bilateral
25929,nondisplaced fracture coronoid ulna fracture malunion
25930,varicose veins extremity ulcer calf inflammation
25931,hormone accidental unintentional sequela
25932,activity underwater diving snorkeling
25933,laceration splenic vein sequela
25934,displaced comminuted fracture shaft ulna arm sequela
25935,partial traumatic amputation unspecified lesser toes sequela
25936,gonococcal cystitis urethritis unspecified
25937,person injured collision between two- three-wheeled powered traffic sequela
25938,displaced articular fracture head unspecified femur fracture iiia iiib iiic healing
25939,osteomyelitis unspecified orbit
25940,guttate psoriasis
25941,cervical disc disorder myelopathy unspecified cervical region
25942,laceration extensor fascia tendon unspecified finger wrist hand
25943,Status post inhalation injury
25944,unspecified physeal fracture fibula fracture
25945,change job
25946,transient neonatal thrombocytopenia
25947,partial traumatic amputation foot unspecified
25948,bitten goose
25949,diagnostic accidental unintentional
25950,congenital cauda equina malformations
25951,lagophthalmos unspecified eye unspecified eyelid
25952,passenger injured collision vehicles nontraffic accident sequela
25953,cystic meniscus posterior horn lateral meniscus unspecified knee
25954,progressive ophthalmoplegia eye
25955,aggressive periodontitis unspecified
25956,unspecified injury flexor fascia tendon unspecified thumb wrist hand sequela
25957,unspecified intracapsular fracture unspecified femur fracture iiia iiib iiic
25958,abnormal ultrasonic antenatal
25959,contusion unspecified shoulder sequela
25960,Oxygen desaturation hypoxia
25961, pancreas transplant recent reexploration because
25962, atrial fibrillation 
25963,passenger injured collision van nontraffic accident sequela
25964,unspecified keratoconjunctivitis unspecified eye
25965,burn unspecified degree wrist
25966,driver injured collision fixed stationary object traffic accident sequela
25967,allergy status
25968,maternal viable fetus abdominal pregnancy unspecified trimester fetus
25969,unspecified nephritic syndrome deposit disease
25970,dacryolith bilateral lacrimal passages
25971,unspecified pedal cyclist injured collision two- three-wheeled traffic accident sequela
25972,postprocedural hemorrhage skin subcutaneous tissue dermatologic
25973,unspecified injury blood vessel index finger sequela
25974,circadian rhythm disorder irregular wake
25975,Potential aspiration
25976,unspecified sprain unspecified toes sequela
25977,unspecified water transport accident
25978,unspecified injury unspecified fascia tendon wrist hand unspecified hand sequela
25979,nondisplaced fracture lateral malleolus unspecified fibula fracture malunion
25980,displaced comminuted fracture patella fracture nonunion
25981,alkalosis
25982,atherosclerosis native arteries extremities intermittent claudication extremity
25983,nondisplaced segmental fracture shaft ulna unspecified arm fracture nonunion
